U,II1,II2,II3,III1,III2,III3
850,0.485,0.962,1.463,0.474,0.97,1.436
850,0.473,0.97,1.418,0.493,0.967,1.45
850,0.46,0.962,1.442,0.494,0.937,1.474
850,0.493,0.94,1.481,0.477,0.976,1.468
850,0.489,0.976,1.484,0.488,0.986,1.464
850,0.471,0.975,1.431,0.488,0.976,1.466
900,0.468,0.984,1.49,0.497,1.016,1.504
900,0.495,0.969,1.485,0.509,0.975,1.463
900,0.473,0.983,1.473,0.5,0.995,1.511
900,0.49,0.976,1.477,0.504,1.039,1.474
900,0.484,0.975,1.491,0.502,0.96,1.473
900,0.483,0.989,1.41,0.484,0.994,1.465
950,0.508,1.022,1.518,0.494,1.006,1.525
950,0.516,0.999,1.547,0.485,1.029,1.526
950,0.509,1.004,1.529,0.49,1.044,1.515
950,0.503,1.008,1.519,0.504,1.002,1.527
950,0.487,0.987,1.53,0.516,1.012,1.533
950,0.496,1,1.504,0.496,0.988,1.503
