UR1(mV),UC(mV),B(T),H(A/m)
0.0,32.75,134.92422551999996,0.0
-319.6,0.0,0.0,-95813.69692173017
162.0,-64.79,-266.9233762272,48566.392056696764
166.3,99.68,410.66402442239996,49855.499994004145
328.3,-60.52,-249.33172911359995,98421.8920507009
-183.6,-89.0,-366.66430751999997,-55041.910997589664
-56.16,103.2,425.16580377599996,-16836.349246321544
41.04,-118.9,-489.84703555199985,12303.485987696513
237.6,75.47,310.9230931296,71230.70834982191
-49.68,-80.46,-331.4810132927999,-14893.693564053674
-112.3,49.84,205.33201221119998,-33666.70264177189
49.68,-46.28,-190.66543991039995,14893.693564053674
-79.92,81.88,337.3311629183999,-23959.420081303735
114.4,117.4,483.6673000319999,34296.26698324759
79.92,-103.2,-425.16580377599996,23959.420081303735
-166.3,59.1,243.48157948799994,-49855.499994004145
-133.9,-36.31,-149.5907978208,-40142.221582664795
