T(̊ C),U(mV),dU/dt(mV/̊ C)
30.0,22.005,0.0006000000000000227
35.0,22.008,0.000500000000000167
40.0,22.01,-0.005039720442632678
45.1,21.956,-0.06336986794717969
50.0,21.397,-0.010695774067202901
55.0,21.871,0.04430000000000023
60.0,21.84,-0.006099999999999994
65.0,21.81,-0.011400000000000077
70.0,21.726,-0.023494450537398404
74.7,21.586,-0.07563362902687665
75.8,21.491,-0.18254010695186906
76.4,21.35,-0.48499999999999943
76.7,21.167,-0.643750000000006
77.2,20.817,-0.5922619047619051
77.9,20.508,-0.5759424603174637
78.8,19.834,-0.7849415204678394
79.8,19.009,-1.1783613445378123
80.5,18.011,-1.1668809523809465
81.0,17.52,-1.0109999999999992
81.5,17.0,-0.995000000000001
82.0,16.525,-1.45000000000001
82.3,16.0,-3.0609999999999644
82.5,15.213,-2.9591666666666256
82.9,14.81,-0.9411666666666569
83.5,14.305,-1.5050000000000168
83.8,13.754,-1.5876893939394066
84.6,13.015,-0.8863690476190431
85.2,12.5,-0.8458333333333314
85.8,12.0,-0.7300000000000004
86.4,11.624,-0.7244688644688679
87.1,11.037,-0.7974047619047671
87.6,10.653,-0.7528412698412681
88.5,10.0,-0.7255555555555515
